;config_540_avg
Standard_Acc;74,6300
RMSCE;0,0265
gaussian_noise;20,8100
shot_noise;26,2440
impulse_noise;23,6960
defocus_blur;21,1140
glass_blur;18,8440
motion_blur;30,0160
zoom_blur;26,6180
snow;35,0740
frost;39,6580
fog;37,6600
brightness;49,1760
contrast;18,1480
elastic_transform;37,4780
pixelate;45,6680
jpeg_compression;43,4320
speckle_noise;19,3020
gaussian_blur;21,9080
spatter;41,4600
saturate;43,8060
blue_noise_sample;37,0500
brownish_noise;48,3720
caustic_refraction;30,2420
checkerboard_cutout;43,3660
cocentric_sine_waves;25,7760
inverse_sparkles;31,4740
perlin_noise;55,7820
plasma_noise;22,2000
single_frequency_greyscale;20,3080
sparkles;64,7720
Acc_C-all-19;31,5848
Acc_C-original-15;31,5757
Acc_C-bar-10;37,9342
Acc_all-ex-pixelwise-noise-24;35,5147
RMSCE_C;0,2066
Combined_Noise;42,9500
