;config_549_avg
Standard_Acc;97,0100
RMSCE;0,0322
gaussian_noise;93,0240
shot_noise;94,1660
impulse_noise;96,5400
defocus_blur;95,1580
glass_blur;89,9540
motion_blur;93,3020
zoom_blur;94,2340
snow;93,3680
frost;94,4740
fog;94,9960
brightness;96,5980
contrast;95,1960
elastic_transform;93,0860
pixelate;91,3880
jpeg_compression;87,5980
speckle_noise;94,3560
gaussian_blur;94,2600
spatter;94,3200
saturate;95,8100
blue_noise;90,0540
brownish_noise;83,1400
checkerboard_cutout;89,6840
circular_motion_blur;94,2280
inverse_sparkles;81,2820
lines;84,4400
pinch_and_twirl;94,5560
ripple;89,3160
sparkles;90,0180
transverse_chromatic_abberation;85,3500
Acc_C-all-19;93,7804
Acc_C-original-15;93,5388
Acc_C-bar-10;88,2068
Acc_all-ex-pixelwise-noise-24;91,4898
RMSCE_C;0,0319
Combined_Noise;94,7200
