;config_410_avg
Standard_Acc;71,0350
RMSCE;0,0171
gaussian_noise;53,2000
shot_noise;54,8000
impulse_noise;54,0000
defocus_blur;57,8000
glass_blur;34,6000
motion_blur;58,5000
zoom_blur;47,9000
snow;59,7000
frost;63,7000
fog;62,3000
brightness;64,8000
contrast;52,9000
elastic_transform;63,9000
pixelate;64,5000
jpeg_compression;66,4000
speckle_noise;51,1000
gaussian_blur;47,3000
spatter;59,6000
saturate;57,9000
blue_noise_sample;50,8000
brownish_noise;56,0000
caustic_refraction;42,7000
checkerboard_cutout;43,6000
cocentric_sine_waves;33,7000
inverse_sparkles;26,7000
perlin_noise;62,5000
plasma_noise;32,6000
single_frequency_greyscale;30,3000
sparkles;65,1000
Acc_C-all-19;56,5737
Acc_C-original-15;57,2667
Acc_C-bar-10;44,4000
Acc_all-ex-pixelwise-noise-24;52,2917
RMSCE_C;0,0905
Combined_Noise;65,5450
