;config_388_avg;config_388_std;config_388_run_0;config_388_run_1;config_388_run_2;config_388_run_3;config_388_run_4
Standard_Acc;74,6780;5,1221;84,9150;71,7500;72,2750;72,1950;72,2550
RMSCE;0,0309;0,0113;0,0532;0,0244;0,0285;0,0259;0,0227
gaussian_noise;50,5200;5,8198;61,6000;48,8000;45,0000;46,9000;50,3000
shot_noise;54,5000;4,6755;63,7000;52,5000;51,4000;51,3000;53,6000
impulse_noise;52,2800;3,8055;58,9000;52,3000;47,9000;49,3000;53,0000
defocus_blur;56,4200;3,7231;63,7000;53,6000;54,3000;54,5000;56,0000
glass_blur;32,7200;1,9813;35,7000;31,2000;31,2000;34,5000;31,0000
motion_blur;58,2200;3,8217;65,1000;57,7000;57,2000;57,8000;53,3000
zoom_blur;49,6200;3,0525;55,2000;48,1000;46,1000;49,9000;48,8000
snow;63,4800;3,7881;70,0000;60,0000;59,5000;63,3000;64,6000
frost;64,1200;4,2902;72,5000;62,5000;63,2000;62,0000;60,4000
fog;66,6600;4,5618;75,3000;61,7000;65,6000;65,0000;65,7000
brightness;66,2000;5,0671;75,6000;62,5000;64,8000;61,3000;66,8000
contrast;55,7800;2,8743;60,6000;51,9000;54,2000;56,5000;55,7000
elastic_transform;60,5400;4,3875;69,0000;59,1000;56,9000;57,5000;60,2000
pixelate;64,2000;4,3868;72,7000;60,2000;63,1000;63,2000;61,8000
jpeg_compression;66,7400;5,6205;77,4000;65,8000;60,7000;65,2000;64,6000
speckle_noise;51,0600;4,4911;59,4000;48,5000;48,1000;47,2000;52,1000
gaussian_blur;48,8800;1,9874;51,9000;49,7000;46,4000;47,0000;49,4000
spatter;62,4200;4,4450;71,2000;59,1000;60,9000;59,9000;61,0000
saturate;62,1400;3,4197;68,7000;62,2000;60,2000;59,2000;60,4000
blue_noise_sample;54,6000;4,1367;61,5000;49,9000;56,7000;51,4000;53,5000
brownish_noise;56,1000;4,9715;65,9000;52,4000;53,1000;54,4000;54,7000
caustic_refraction;37,6000;2,0337;41,5000;36,8000;36,5000;37,5000;35,7000
checkerboard_cutout;47,7800;2,4620;52,6000;46,5000;47,5000;46,0000;46,3000
cocentric_sine_waves;31,0800;2,8576;35,8000;28,7000;33,0000;28,7000;29,2000
inverse_sparkles;28,6200;2,3978;32,9000;28,7000;28,4000;25,6000;27,5000
perlin_noise;62,8400;3,8140;70,4000;61,0000;61,7000;60,1000;61,0000
plasma_noise;31,4800;2,1283;35,4000;29,3000;31,9000;30,5000;30,3000
single_frequency_greyscale;28,7400;2,4303;33,0000;29,9000;26,6000;27,3000;26,9000
sparkles;65,2200;3,4313;71,9000;62,4000;64,5000;64,3000;63,0000
Acc_C-all-19;57,1842;3,7682;64,6421;55,1263;54,5632;55,3421;56,2474
Acc_C-original-15;57,4667;3,8746;65,1333;55,1933;54,7400;55,8800;56,3867
Acc_C-bar-10;44,4060;2,8903;50,0900;42,5600;43,9900;42,5800;42,8100
Acc_all-ex-pixelwise-noise-24;52,8167;3,2636;59,3333;50,8750;51,1458;51,3000;51,4292
RMSCE_C;0,1036;0,0123;0,0798;0,1079;0,1124;0,1136;0,1041
Combined_Noise;68,1010;4,3976;76,8850;65,5200;65,9650;65,9250;66,2100
