;config_387_avg;config_387_std;config_387_run_0;config_387_run_1;config_387_run_2
Standard_Acc;72,9733;0,1408;72,9400;72,8200;73,1600
RMSCE;0,0265;0,0025;0,0269;0,0233;0,0294
gaussian_noise;32,1407;0,5071;31,9200;32,8420;31,6600
shot_noise;37,3233;0,7669;37,4380;38,2000;36,3320
impulse_noise;35,6107;0,6082;36,2020;35,8560;34,7740
defocus_blur;45,9020;2,4234;48,4520;46,6100;42,6440
glass_blur;37,5627;1,3949;38,5360;38,5620;35,5900
motion_blur;53,1800;1,8066;54,8640;54,0020;50,6740
zoom_blur;49,4040;1,2879;50,6280;49,9600;47,6240
snow;49,2040;0,5849;49,8020;49,4000;48,4100
frost;52,3513;0,1413;52,2840;52,5480;52,2220
fog;54,9773;1,2353;55,9880;55,7060;53,2380
brightness;61,3413;0,4333;61,9500;61,0980;60,9760
contrast;40,1340;0,3065;39,8520;40,5600;39,9900
elastic_transform;56,0173;0,8086;56,9920;56,0480;55,0120
pixelate;58,8307;0,8319;59,0940;59,6920;57,7060
jpeg_compression;58,8280;1,0837;60,0500;59,0180;57,4160
speckle_noise;29,6367;0,9240;30,1600;30,4120;28,3380
gaussian_blur;48,8093;2,4351;51,3040;49,6180;45,5060
spatter;50,9333;0,3583;51,3300;50,4620;51,0080
saturate;55,6960;0,4264;56,1180;55,8580;55,1120
blue_noise_sample;55,0907;0,9004;55,2320;53,9240;56,1160
brownish_noise;56,5847;0,7555;57,6440;55,9340;56,1760
caustic_refraction;37,6340;0,1705;37,7340;37,3940;37,7740
checkerboard_cutout;48,2187;0,8739;48,9860;46,9960;48,6740
cocentric_sine_waves;31,1227;0,5842;30,8880;30,5540;31,9260
inverse_sparkles;28,9567;0,3962;29,5140;28,7280;28,6280
perlin_noise;60,9087;0,0772;60,8060;60,9280;60,9920
plasma_noise;32,9640;1,0112;34,3020;32,7320;31,8580
single_frequency_greyscale;28,7553;0,6590;28,6880;27,9840;29,5940
sparkles;64,7453;0,1465;64,7960;64,5460;64,8940
Acc_C-all-19;47,7833;0,8912;48,5771;48,2343;46,5385
Acc_C-original-15;48,1872;0,8805;48,9368;48,6735;46,9512
Acc_C-bar-10;44,4981;0,3805;44,8590;43,9720;44,6632
Acc_all-ex-pixelwise-noise-24;48,4609;0,6311;49,1917;48,5391;47,6518
RMSCE_C;0,1199;0,0051;0,1163;0,1162;0,1272
Combined_Noise;66,8533;0,4268;66,2500;67,1400;67,1700
