;config_417_avg
Standard_Acc;71,0050
RMSCE;0,0195
gaussian_noise;53,3000
shot_noise;54,4000
impulse_noise;52,0000
defocus_blur;53,5000
glass_blur;31,1000
motion_blur;59,4000
zoom_blur;45,2000
snow;60,6000
frost;62,2000
fog;62,8000
brightness;62,1000
contrast;51,8000
elastic_transform;62,9000
pixelate;63,3000
jpeg_compression;66,0000
speckle_noise;48,5000
gaussian_blur;44,0000
spatter;58,2000
saturate;59,4000
blue_noise_sample;52,7000
brownish_noise;53,1000
caustic_refraction;40,1000
checkerboard_cutout;41,9000
cocentric_sine_waves;34,1000
inverse_sparkles;24,8000
perlin_noise;61,4000
plasma_noise;30,0000
single_frequency_greyscale;30,7000
sparkles;63,2000
Acc_C-all-19;55,3000
Acc_C-original-15;56,0400
Acc_C-bar-10;43,2000
Acc_all-ex-pixelwise-noise-24;50,9083
RMSCE_C;0,0968
Combined_Noise;64,7500
