;config_377_avg
Standard_Acc;72,1700
RMSCE;0,0401
gaussian_noise;47,0000
shot_noise;51,4000
impulse_noise;49,9000
defocus_blur;54,0000
glass_blur;30,5000
motion_blur;55,3000
zoom_blur;46,5000
snow;59,4000
frost;64,2000
fog;61,9000
brightness;62,5000
contrast;52,5000
elastic_transform;61,5000
pixelate;62,7000
jpeg_compression;65,8000
speckle_noise;44,6000
gaussian_blur;45,8000
spatter;58,5000
saturate;57,3000
blue_noise_sample;52,8000
brownish_noise;54,6000
caustic_refraction;37,2000
checkerboard_cutout;45,1000
cocentric_sine_waves;28,2000
inverse_sparkles;26,0000
perlin_noise;58,9000
plasma_noise;31,1000
single_frequency_greyscale;27,1000
sparkles;64,6000
Acc_C-all-19;54,2789
Acc_C-original-15;55,0067
Acc_C-bar-10;42,5600
Acc_all-ex-pixelwise-noise-24;50,4667
RMSCE_C;0,1236
Combined_Noise;65,5650
