;config_141_avg
Standard_Acc;72,3800
RMSCE;0,0325
gaussian_noise;26,7100
shot_noise;33,0760
impulse_noise;31,0500
defocus_blur;23,9620
glass_blur;23,1940
motion_blur;35,5580
zoom_blur;27,9780
snow;43,1160
frost;46,2120
fog;42,4460
brightness;56,3560
contrast;17,3280
elastic_transform;43,0120
pixelate;55,6540
jpeg_compression;51,2020
speckle_noise;26,1040
gaussian_blur;24,8040
spatter;49,2540
saturate;50,6680
blue_noise_sample;45,0580
brownish_noise;54,1080
caustic_refraction;34,5300
checkerboard_cutout;44,2760
cocentric_sine_waves;28,3280
inverse_sparkles;28,7400
perlin_noise;56,9180
plasma_noise;28,6580
single_frequency_greyscale;24,8960
sparkles;64,2380
Acc_C-all-19;37,2465
Acc_C-original-15;37,1236
Acc_C-bar-10;40,9750
Acc_all-ex-pixelwise-noise-24;39,8098
RMSCE_C;0,1726
Combined_Noise;50,9200
