;config_370_avg;config_370_std;config_370_run_0;config_370_run_1;config_370_run_2
Standard_Acc;72,9433;0,1050;73,0900;72,8500;72,8900
RMSCE;0,0342;0,0022;0,0338;0,0318;0,0371
gaussian_noise;32,2333;0,6156;31,4500;32,2960;32,9540
shot_noise;37,3227;0,4963;36,7640;37,2340;37,9700
impulse_noise;35,4800;1,0511;34,1500;35,5700;36,7200
defocus_blur;44,0233;2,2906;45,6660;45,6200;40,7840
glass_blur;34,2873;1,7885;36,8120;33,1580;32,8920
motion_blur;51,9387;1,5041;53,7420;52,0140;50,0600
zoom_blur;48,6940;1,5548;50,5580;48,7720;46,7520
snow;47,4687;0,2808;47,7160;47,6140;47,0760
frost;50,1820;0,7776;51,0480;50,3360;49,1620
fog;53,6487;1,2159;54,8600;54,1000;51,9860
brightness;60,8907;0,6082;61,6140;60,1260;60,9320
contrast;38,9940;0,9867;40,2680;38,8500;37,8640
elastic_transform;55,7527;0,8704;56,8200;54,6880;55,7500
pixelate;58,7847;1,1120;59,7320;59,3980;57,2240
jpeg_compression;58,7807;0,6763;59,4800;58,9960;57,8660
speckle_noise;30,6900;0,2673;30,4060;30,6160;31,0480
gaussian_blur;47,1540;2,3308;49,0000;48,5960;43,8660
spatter;49,7633;0,9402;50,7860;48,5160;49,9880
saturate;55,3120;0,5342;56,0180;54,7260;55,1920
blue_noise_sample;54,2133;1,1477;52,5980;54,8840;55,1580
brownish_noise;56,8707;0,5638;57,5760;56,1960;56,8400
caustic_refraction;34,9620;1,3169;36,6040;33,3800;34,9020
checkerboard_cutout;47,6320;0,4549;47,5640;47,1120;48,2200
cocentric_sine_waves;29,7973;0,5101;29,0760;30,1480;30,1680
inverse_sparkles;28,0760;0,1467;27,8700;28,2000;28,1580
perlin_noise;58,7600;0,4175;59,3180;58,3140;58,6480
plasma_noise;32,9953;1,1656;33,2380;31,4620;34,2860
single_frequency_greyscale;27,3293;0,2498;27,0380;27,6480;27,3020
sparkles;63,8313;0,4204;64,3960;63,3880;63,7100
Acc_C-all-19;46,9158;0,6619;47,7311;46,9066;46,1098
Acc_C-original-15;47,2321;0,6721;48,0453;47,2515;46,3995
Acc_C-bar-10;43,4467;0,2779;43,5278;43,0732;43,7392
Acc_all-ex-pixelwise-noise-24;47,3304;0,6465;48,2000;47,1399;46,6512
RMSCE_C;0,1360;0,0042;0,1329;0,1332;0,1420
Combined_Noise;66,0300;0,2692;65,6500;66,2400;66,2000
