;config_398_avg
Standard_Acc;71,4300
RMSCE;0,0255
gaussian_noise;49,9000
shot_noise;52,3000
impulse_noise;50,5000
defocus_blur;54,6000
glass_blur;31,0000
motion_blur;56,0000
zoom_blur;45,1000
snow;58,1000
frost;61,9000
fog;61,7000
brightness;62,3000
contrast;53,2000
elastic_transform;62,3000
pixelate;64,8000
jpeg_compression;65,3000
speckle_noise;48,2000
gaussian_blur;44,0000
spatter;58,2000
saturate;60,5000
blue_noise_sample;51,9000
brownish_noise;54,6000
caustic_refraction;36,7000
checkerboard_cutout;44,9000
cocentric_sine_waves;30,5000
inverse_sparkles;25,7000
perlin_noise;60,0000
plasma_noise;27,5000
single_frequency_greyscale;27,6000
sparkles;64,7000
Acc_C-all-19;54,7316
Acc_C-original-15;55,2667
Acc_C-bar-10;42,4100
Acc_all-ex-pixelwise-noise-24;50,4667
RMSCE_C;0,1125
Combined_Noise;64,9800
