;config_420_avg
Standard_Acc;70,1450
RMSCE;0,0158
gaussian_noise;54,4000
shot_noise;57,2000
impulse_noise;54,0000
defocus_blur;55,5000
glass_blur;33,0000
motion_blur;59,9000
zoom_blur;46,3000
snow;62,2000
frost;63,2000
fog;62,1000
brightness;62,6000
contrast;54,2000
elastic_transform;60,2000
pixelate;64,6000
jpeg_compression;66,6000
speckle_noise;51,3000
gaussian_blur;47,4000
spatter;58,1000
saturate;57,7000
blue_noise_sample;51,7000
brownish_noise;54,2000
caustic_refraction;39,6000
checkerboard_cutout;44,0000
cocentric_sine_waves;32,7000
inverse_sparkles;26,3000
perlin_noise;60,8000
plasma_noise;30,0000
single_frequency_greyscale;29,8000
sparkles;63,8000
Acc_C-all-19;56,3421
Acc_C-original-15;57,0667
Acc_C-bar-10;43,2900
Acc_all-ex-pixelwise-noise-24;51,4500
RMSCE_C;0,0869
Combined_Noise;64,6200
