;config_383_avg
Standard_Acc;71,4600
RMSCE;0,0363
gaussian_noise;51,9000
shot_noise;55,5000
impulse_noise;51,6000
defocus_blur;55,0000
glass_blur;32,2000
motion_blur;57,5000
zoom_blur;47,3000
snow;60,2000
frost;65,0000
fog;61,9000
brightness;63,4000
contrast;52,8000
elastic_transform;62,8000
pixelate;65,7000
jpeg_compression;66,4000
speckle_noise;52,1000
gaussian_blur;47,8000
spatter;61,1000
saturate;58,7000
blue_noise_sample;49,4000
brownish_noise;53,9000
caustic_refraction;37,8000
checkerboard_cutout;44,6000
cocentric_sine_waves;30,8000
inverse_sparkles;27,1000
perlin_noise;61,5000
plasma_noise;30,5000
single_frequency_greyscale;28,0000
sparkles;64,8000
Acc_C-all-19;56,2579
Acc_C-original-15;56,6133
Acc_C-bar-10;42,8400
Acc_all-ex-pixelwise-noise-24;51,5333
RMSCE_C;0,1145
Combined_Noise;66,2600
