;config_325_avg
Standard_Acc;67,6200
RMSCE;0,0524
gaussian_noise;31,9100
shot_noise;37,0640
impulse_noise;33,3740
defocus_blur;42,6820
glass_blur;36,7960
motion_blur;49,2780
zoom_blur;45,9400
snow;44,6000
frost;46,9220
fog;48,0520
brightness;52,2660
contrast;35,2720
elastic_transform;50,7640
pixelate;53,5180
jpeg_compression;53,9920
speckle_noise;31,8240
gaussian_blur;45,4100
spatter;43,4180
saturate;47,8540
blue_noise_sample;48,7060
brownish_noise;49,6580
caustic_refraction;33,8600
checkerboard_cutout;42,5560
cocentric_sine_waves;31,0380
inverse_sparkles;27,7320
perlin_noise;55,1440
plasma_noise;27,9220
single_frequency_greyscale;27,7060
sparkles;59,4900
Acc_C-all-19;43,7335
Acc_C-original-15;44,1620
Acc_C-bar-10;40,3812
Acc_all-ex-pixelwise-noise-24;43,8279
RMSCE_C;0,1506
Combined_Noise;62,3100
