time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust
4390,8832;29,5886;4,7632;61,4720;2,6559;27,0621
7875,1560;35,2047;4,4583;63,1780;2,5746;30,2828
11264,1257;37,0438;4,3474;63,2600;2,5858;30,4483
14988,9324;37,9372;4,3046;63,9300;2,5321;31,9310
18455,4507;38,5131;4,2787;64,1780;2,5508;31,4966
21780,3419;39,3919;4,2277;64,3360;2,5279;31,8621
25293,6674;40,2584;4,1993;64,9380;2,5130;32,6759
29551,6189;39,7095;4,2075;65,3140;2,4897;32,7448
33793,1382;40,1564;4,2007;65,2520;2,5089;32,1172
37980,3313;40,5309;4,1804;65,2980;2,4985;32,1448
42397,7084;41,0221;4,1794;65,6200;2,4680;32,6897
46770,7839;41,7180;4,0949;65,5960;2,4862;32,8483
50852,7877;41,3055;4,1414;65,5320;2,4912;32,6966
55119,0337;41,8196;4,1214;65,7060;2,4743;32,6207
59468,0299;41,0496;4,1738;65,7900;2,4750;33,0828
63732,6017;42,1435;4,1014;66,0160;2,4539;33,4621
67770,8786;41,1240;4,1650;65,9220;2,4672;33,6276
72083,6289;41,9327;4,0994;65,9260;2,4567;33,0552
76128,8083;41,2227;4,1368;65,9580;2,4571;32,9931
80526,9587;41,9571;4,0931;65,9400;2,4601;32,9931
