;config_342_avg
Standard_Acc;75,1000
RMSCE;0,0176
gaussian_noise;57,6120
shot_noise;61,2060
impulse_noise;62,8700
defocus_blur;69,9600
glass_blur;59,7240
motion_blur;65,5980
zoom_blur;67,6560
snow;65,4000
frost;65,8900
fog;69,1620
brightness;73,5160
contrast;68,6280
elastic_transform;66,0300
pixelate;65,7800
jpeg_compression;56,9180
speckle_noise;61,7700
gaussian_blur;67,3580
spatter;66,7280
saturate;69,5800
blue_noise;56,1240
brownish_noise;40,5380
checkerboard_cutout;60,8620
circular_motion_blur;68,5240
inverse_sparkles;41,9520
lines;51,4580
pinch_and_twirl;69,2760
ripple;62,3820
sparkles;62,1520
transverse_chromatic_abberation;50,0220
Acc_C-all-19;65,3361
Acc_C-original-15;65,0633
Acc_C-bar-10;56,3290
Acc_all-ex-pixelwise-noise-24;62,7122
RMSCE_C;0,0603
Combined_Noise;65,4100
