;config_117_avg
Standard_Acc;73,8700
RMSCE;0,0414
gaussian_noise;23,8600
shot_noise;32,8220
impulse_noise;26,8060
defocus_blur;63,3680
glass_blur;26,6980
motion_blur;57,4040
zoom_blur;59,0060
snow;54,6260
frost;50,7460
fog;58,7960
brightness;70,6240
contrast;48,5660
elastic_transform;61,9780
pixelate;56,9020
jpeg_compression;55,3560
speckle_noise;34,8640
gaussian_blur;56,8740
spatter;58,5860
saturate;61,0180
blue_noise;22,8280
brownish_noise;27,2700
checkerboard_cutout;48,7240
circular_motion_blur;66,6840
inverse_sparkles;30,1960
lines;45,9160
pinch_and_twirl;67,3060
ripple;58,6000
sparkles;51,7020
transverse_chromatic_abberation;35,9040
Acc_C-all-19;50,4684
Acc_C-original-15;49,8372
Acc_C-bar-10;45,5130
Acc_all-ex-pixelwise-noise-24;53,0354
RMSCE_C;0,1415
Combined_Noise;47,4800
