;config_466_avg;config_466_std;config_466_run_0;config_466_run_1;config_466_run_2;config_466_run_3;config_466_run_4
Standard_Acc;81,2460;0,2717;81,2000;80,8400;81,2000;81,6900;81,3000
RMSCE;0,0239;0,0018;0,0215;0,0265;0,0227;0,0239;0,0251
gaussian_noise;58,0800;2,4612;58,1000;54,9000;59,0000;62,1000;56,3000
shot_noise;63,1000;1,6456;64,1000;60,9000;65,6000;63,0000;61,9000
impulse_noise;64,7000;2,6207;65,7000;62,4000;60,9000;67,8000;66,7000
defocus_blur;76,1000;1,1367;77,5000;76,3000;74,6000;77,1000;75,0000
glass_blur;62,1000;1,3550;63,1000;60,4000;62,4000;63,9000;60,7000
motion_blur;71,0200;1,2687;71,0000;72,8000;70,8000;71,6000;68,9000
zoom_blur;73,9000;1,2345;72,5000;74,9000;74,3000;72,4000;75,4000
snow;68,6400;1,5001;66,3000;69,0000;70,9000;69,0000;68,0000
frost;73,9200;2,0856;71,8000;71,4000;76,1000;76,4000;73,9000
fog;73,9000;1,5323;73,5000;72,0000;72,8000;76,3000;74,9000
brightness;79,0200;1,0534;78,4000;77,3000;79,3000;80,0000;80,1000
contrast;76,7000;1,1645;77,3000;77,3000;74,5000;77,8000;76,6000
elastic_transform;69,9200;1,6017;70,9000;69,4000;72,2000;69,7000;67,4000
pixelate;63,8400;2,1020;62,3000;61,4000;65,4000;67,1000;63,0000
jpeg_compression;58,6200;1,3688;58,0000;57,1000;57,8000;61,0000;59,2000
speckle_noise;62,1800;3,3415;65,9000;56,5000;61,5000;65,2000;61,8000
gaussian_blur;69,3000;1,2264;69,5000;68,4000;71,4000;69,4000;67,8000
spatter;74,6400;0,8139;73,5000;73,9000;75,1000;75,7000;75,0000
saturate;75,1600;1,2142;75,0000;73,8000;76,7000;76,4000;73,9000
blue_noise;64,7800;1,8519;64,9000;62,0000;64,0000;65,3000;67,7000
brownish_noise;40,6400;1,4664;41,0000;39,7000;43,3000;40,1000;39,1000
checkerboard_cutout;66,3200;1,0419;66,8000;65,4000;64,9000;66,7000;67,8000
circular_motion_blur;74,1000;1,2602;76,2000;72,7000;74,3000;72,9000;74,4000
inverse_sparkles;41,9400;2,5255;39,1000;39,8000;42,4000;46,3000;42,1000
lines;53,1600;1,7716;51,8000;52,2000;56,4000;53,7000;51,7000
pinch_and_twirl;74,1800;0,9064;72,4000;74,3000;74,7000;74,8000;74,7000
ripple;64,9800;0,8060;65,4000;64,8000;65,8000;65,4000;63,5000
sparkles;66,7600;1,0092;65,6000;67,2000;66,3000;68,5000;66,2000
transverse_chromatic_abberation;50,1000;2,6661;47,6000;48,2000;50,3000;55,1000;49,3000
Acc_C-all-19;69,2021;0,8981;69,1789;67,9000;69,5421;70,6263;68,7632
Acc_C-original-15;68,9040;0,8304;68,7000;67,8333;69,1067;70,3467;68,5333
Acc_C-bar-10;59,6960;0,8020;59,0800;58,6300;60,2400;60,8800;59,6500
Acc_all-ex-pixelwise-noise-24;66,6233;0,7513;66,1042;65,8208;67,1958;67,8042;66,1917
RMSCE_C;0,0817;0,0056;0,0842;0,0910;0,0781;0,0748;0,0805
Combined_Noise;68,6840;1,0392;68,6400;66,9400;68,9800;70,1900;68,6700
