train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
5,1240;4,3636;8,2300;4,1354;8,1517;8,2300;8,1517
10,4800;4,0803;16,3600;3,7634;16,6759;16,3600;16,6759
16,8000;3,7851;23,6100;3,5445;22,1379;23,6100;22,1379
23,2820;3,5026;28,4100;3,3094;23,1379;28,4100;23,1379
28,5920;3,2945;34,3600;3,0706;27,4966;34,3600;27,4966
33,4920;3,1115;36,4500;3,0326;31,0552;36,4500;31,0552
37,3440;2,9704;44,2700;2,7114;37,8069;44,2700;37,8069
40,7640;2,8420;42,2500;2,8079;31,0759;42,2500;31,0759
43,3440;2,7555;48,4200;2,6154;37,0069;48,4200;37,0069
45,6440;2,6732;49,9100;2,5353;35,6000;49,9100;35,6000
47,2120;2,6171;51,7900;2,5087;41,6276;51,7900;41,6276
48,7940;2,5559;52,0000;2,4882;40,3379;52,0000;40,3379
50,7880;2,4804;54,4800;2,3693;45,4690;54,4800;45,4690
52,3000;2,4381;54,6100;2,3584;42,4966;54,6100;42,4966
53,1100;2,4026;57,1100;2,3319;45,2483;57,1100;45,2483
54,5980;2,3553;57,0000;2,3253;43,3034;57,0000;43,3034
55,2500;2,3317;59,6600;2,1900;49,6069;59,6600;49,6069
56,8880;2,2766;60,8300;2,1696;49,8690;60,8300;49,8690
57,6100;2,2463;60,5000;2,1536;49,1586;60,5000;49,1586
58,0840;2,2289;62,5100;2,1217;47,6552;62,5100;47,6552
60,1860;2,1650;62,8900;2,0950;47,9655;62,8900;47,9655
60,2500;2,1525;62,8500;2,0833;49,9655;62,8500;49,9655
61,1960;2,1233;64,2500;2,0402;50,5793;64,2500;50,5793
62,1500;2,0979;64,9200;2,0244;52,9586;64,9200;52,9586
61,9560;2,0924;65,1800;2,0076;52,2138;65,1800;52,2138
62,8400;2,0717;65,5700;1,9840;53,0069;65,5700;53,0069
63,9860;2,0336;65,6300;1,9856;52,5172;65,6300;52,5172
64,3120;2,0259;66,2000;1,9649;51,9724;66,2000;51,9724
63,1360;2,0542;66,6100;1,9608;52,8552;66,6100;52,8552
64,0220;2,0322;66,6900;1,9654;53,2207;66,6900;53,2207
55,3220;2,3192;58,1000;2,2671;46,7793;58,1000;46,7793
55,0980;2,3315;58,1800;2,2658;49,4345;58,1800;49,4345
55,3300;2,3206;58,9100;2,2273;48,1034;58,9100;48,1034
55,6000;2,3094;59,3000;2,2390;46,7862;59,3000;46,7862
56,6620;2,2724;61,3800;2,1669;48,0759;61,3800;48,0759
57,0660;2,2610;60,4000;2,1963;48,4966;60,4000;48,4966
57,9880;2,2332;61,4500;2,1506;46,5379;61,4500;46,5379
59,3460;2,1839;63,0500;2,1301;51,3103;63,0500;51,3103
58,8160;2,2072;62,2600;2,1887;49,9448;62,2600;49,9448
59,4980;2,1818;63,4800;2,0499;49,6690;63,4800;49,6690
60,3920;2,1451;63,7100;2,0832;53,1793;63,7100;53,1793
60,6900;2,1415;63,8300;2,1160;49,8966;63,8300;49,8966
61,1220;2,1187;64,0500;2,0649;50,3793;64,0500;50,3793
61,0760;2,1220;65,4000;2,0475;51,8069;65,4000;51,8069
62,4780;2,0713;65,1500;2,0362;50,0276;65,1500;50,0276
62,4520;2,0712;66,8000;1,9774;53,9793;66,8000;53,9793
62,9340;2,0580;66,5700;1,9920;49,9724;66,5700;49,9724
63,6800;2,0329;66,5900;1,9747;52,5724;66,5900;52,5724
63,8500;2,0253;68,0100;1,9249;52,5931;68,0100;52,5931
65,0120;1,9860;68,1400;1,9307;55,6828;68,1400;55,6828
64,8520;1,9967;67,7400;1,9182;51,0966;67,7400;51,0966
65,0700;1,9797;69,3800;1,8939;54,2000;69,3800;54,2000
65,4080;1,9705;67,9100;1,9371;54,1103;67,9100;54,1103
65,7900;1,9522;68,5900;1,9017;53,2759;68,5900;53,2759
66,2200;1,9424;69,7500;1,8623;56,8000;69,7500;56,8000
66,4760;1,9356;69,8600;1,8638;55,2690;69,8600;55,2690
67,2480;1,9074;70,0400;1,8491;54,0552;70,0400;54,0552
67,2740;1,9062;70,0100;1,8490;54,6759;70,0100;54,6759
67,5300;1,8921;70,1100;1,8529;54,9724;70,1100;54,9724
67,7480;1,8785;71,3000;1,8160;57,4345;71,3000;57,4345
67,6600;1,8864;71,5400;1,7993;56,6069;71,5400;56,6069
68,6300;1,8565;71,5100;1,8231;56,8138;71,5100;56,8138
68,4580;1,8594;72,8100;1,7764;55,6828;72,8100;55,6828
69,7360;1,8157;72,3800;1,7692;55,3310;72,3800;55,3310
70,3660;1,8013;72,2400;1,7697;56,1103;72,2400;56,1103
70,2100;1,8056;72,4900;1,7797;56,8483;72,4900;56,8483
70,8000;1,7869;73,2000;1,7587;58,7931;73,2000;58,7931
71,0100;1,7786;73,1000;1,7596;57,0483;73,1000;57,0483
71,2700;1,7702;73,4600;1,7263;58,5724;73,4600;58,5724
71,8140;1,7509;73,9700;1,7103;58,3310;73,9700;58,3310
71,9380;1,7496;73,9300;1,7167;59,7931;73,9300;59,7931
73,1740;1,7117;74,3400;1,6962;58,9793;74,3400;58,9793
72,5520;1,7276;74,4700;1,6922;58,3379;74,4700;58,3379
73,7820;1,6899;74,6200;1,6957;58,8138;74,6200;58,8138
72,4780;1,7266;75,3100;1,6632;57,7931;75,3100;57,7931
72,9260;1,7105;75,7000;1,6606;59,8000;75,7000;59,8000
72,8560;1,7123;75,4700;1,6639;58,9241;75,4700;58,9241
73,8540;1,6835;75,5400;1,6586;58,5724;75,5400;58,5724
74,4960;1,6607;75,9200;1,6425;57,7862;75,9200;57,7862
74,0000;1,6755;75,8400;1,6410;58,3103;75,8400;58,3103
74,4020;1,6582;75,8900;1,6425;57,3310;75,8900;57,3310
74,6260;1,6525;76,0900;1,6350;58,4966;76,0900;58,4966
75,1080;1,6450;76,4700;1,6268;58,8069;76,4700;58,8069
74,7840;1,6550;76,2800;1,6246;58,7241;76,2800;58,7241
74,7800;1,6505;76,5100;1,6269;58,7586;76,5100;58,7586
75,4280;1,6361;76,4500;1,6318;59,3241;76,4500;59,3241
75,1540;1,6356;76,3700;1,6339;59,4759;76,3700;59,4759
75,0560;1,6424;76,4800;1,6285;59,0897;76,4800;59,0897
75,0060;1,6379;76,6500;1,6296;59,1517;76,6500;59,1517
75,1640;1,6378;76,6000;1,6297;59,0690;76,6000;59,0690
67,5940;1,8911;67,7800;1,9170;51,1241;67,7800;51,1241
65,9200;1,9463;69,1000;1,8523;53,2759;69,1000;53,2759
65,5480;1,9614;68,8800;1,8974;52,8483;68,8800;52,8483
65,6760;1,9542;68,8500;1,8829;49,5310;68,8500;49,5310
66,2320;1,9374;69,6700;1,8475;52,9793;69,6700;52,9793
65,3340;1,9613;69,3000;1,8604;51,5931;69,3000;51,5931
66,4320;1,9342;69,3300;1,8952;52,2552;69,3300;52,2552
66,6540;1,9178;69,7600;1,8401;54,0138;69,7600;54,0138
66,5200;1,9215;68,4000;1,8853;52,5241;68,4000;52,5241
67,3440;1,8998;69,6400;1,8351;54,2207;69,6400;54,2207
67,1440;1,9050;69,4600;1,8535;52,8138;69,4600;52,8138
67,2840;1,9057;69,9500;1,8371;55,8621;69,9500;55,8621
67,4420;1,8877;70,8400;1,8073;55,2966;70,8400;55,2966
67,2780;1,8959;70,8100;1,8241;54,1034;70,8100;54,1034
67,3780;1,8883;69,5100;1,8290;54,8966;69,5100;54,8966
68,4800;1,8605;71,0900;1,7752;55,2552;71,0900;55,2552
68,0260;1,8726;70,7400;1,8198;56,4069;70,7400;56,4069
68,6520;1,8565;71,9000;1,7653;52,7172;71,9000;52,7172
68,3560;1,8588;70,9000;1,8103;54,0345;70,9000;54,0345
69,0620;1,8346;71,2700;1,7838;56,4345;71,2700;56,4345
68,8760;1,8449;71,5600;1,7721;56,2345;71,5600;56,2345
68,5320;1,8480;71,5100;1,7578;57,5103;71,5100;57,5103
68,5700;1,8512;70,8900;1,7959;54,8759;70,8900;54,8759
68,6120;1,8451;70,8200;1,7938;51,7655;70,8200;51,7655
68,9800;1,8359;71,9000;1,7560;54,4690;71,9000;54,4690
69,0960;1,8337;72,3500;1,7208;56,0690;72,3500;56,0690
69,5980;1,8121;72,1300;1,7556;54,6000;72,1300;54,6000
69,2540;1,8334;71,8100;1,7500;57,3379;71,8100;57,3379
69,7040;1,8083;72,0000;1,7341;54,9724;72,0000;54,9724
69,7980;1,8161;72,6100;1,7154;59,3724;72,6100;59,3724
70,0320;1,8006;73,2700;1,7209;57,7034;73,2700;57,7034
70,3180;1,7930;72,6400;1,7463;57,7241;72,6400;57,7241
70,7160;1,7811;73,3400;1,6961;58,7724;73,3400;58,7724
70,7060;1,7741;73,6200;1,7125;56,2414;73,6200;56,2414
70,8380;1,7725;73,3000;1,7119;57,2483;73,3000;57,2483
70,5680;1,7763;73,6700;1,6775;57,5241;73,6700;57,5241
70,6940;1,7720;74,2100;1,6754;57,5517;74,2100;57,5517
71,2380;1,7658;73,8000;1,6907;58,5103;73,8000;58,5103
71,7120;1,7467;73,6100;1,6687;55,6000;73,6100;55,6000
71,9100;1,7305;73,7000;1,6979;57,1241;73,7000;57,1241
71,7720;1,7334;73,1300;1,7077;58,0000;73,1300;58,0000
71,6760;1,7419;74,2200;1,6818;60,1310;74,2200;60,1310
72,1760;1,7320;73,1200;1,7009;58,3379;73,1200;58,3379
72,4320;1,7185;74,1900;1,6745;60,3241;74,1900;60,3241
72,6140;1,7119;73,8100;1,6533;57,1724;73,8100;57,1724
72,4280;1,7209;74,4000;1,6694;57,2069;74,4000;57,2069
72,7600;1,7103;74,6700;1,6586;59,3724;74,6700;59,3724
73,0200;1,6982;73,9700;1,6604;58,9034;73,9700;58,9034
72,3660;1,7122;75,2000;1,6478;58,5517;75,2000;58,5517
73,0260;1,6989;75,2300;1,6534;58,1310;75,2300;58,1310
72,6680;1,7154;75,6000;1,6238;59,6966;75,6000;59,6966
73,3440;1,6848;75,4700;1,6298;57,8345;75,4700;57,8345
73,5380;1,6735;75,5200;1,6310;58,9379;75,5200;58,9379
73,2900;1,6916;74,5200;1,6363;59,3655;74,5200;59,3655
74,0380;1,6671;75,8000;1,6172;59,8069;75,8000;59,8069
74,1220;1,6634;75,3200;1,6226;57,7034;75,3200;57,7034
73,9760;1,6656;75,0000;1,6334;58,9034;75,0000;58,9034
74,0840;1,6587;75,7100;1,6051;59,7517;75,7100;59,7517
74,1400;1,6577;76,0600;1,6060;61,2759;76,0600;61,2759
74,8200;1,6419;76,4900;1,5987;60,8414;76,4900;60,8414
74,8860;1,6349;76,2000;1,5925;60,7310;76,2000;60,7310
75,1400;1,6360;76,1300;1,5916;60,4759;76,1300;60,4759
75,9420;1,6076;76,4400;1,5909;60,8414;76,4400;60,8414
75,8280;1,6112;76,6200;1,5695;59,9655;76,6200;59,9655
75,0960;1,6184;76,5000;1,5688;59,8897;76,5000;59,8897
75,2340;1,6212;76,8200;1,5770;60,0897;76,8200;60,0897
75,4820;1,6108;76,8200;1,5742;59,2690;76,8200;59,2690
75,8740;1,6013;76,4300;1,5955;58,6276;76,4300;58,6276
76,2160;1,5892;77,1800;1,5568;60,2552;77,1800;60,2552
76,0480;1,5936;77,4400;1,5546;60,3241;77,4400;60,3241
76,1640;1,5925;77,7900;1,5547;60,6759;77,7900;60,6759
