train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
9,1100;4,3728;15,4300;3,9586;10,7103;15,4300;10,7103
17,9087;4,1495;24,1600;3,5558;24,1724;24,1600;24,1724
27,8413;3,9330;35,9400;3,2928;25,7241;35,9400;25,7241
34,2160;3,7841;38,8700;3,0924;26,3172;38,8700;26,3172
41,9593;3,6085;44,4400;3,0223;33,9379;44,4400;33,9379
44,8827;3,5086;51,5800;2,8057;38,9517;51,5800;38,9517
46,7727;3,4846;51,1900;2,7735;36,9103;51,1900;36,9103
50,2867;3,4302;53,2400;2,6699;41,5862;53,2400;41,5862
50,4493;3,4001;54,9600;2,7082;41,0897;54,9600;41,0897
51,2947;3,3782;57,6000;2,5853;42,3793;57,6000;42,3793
54,7913;3,2391;59,4900;2,5625;42,8828;59,4900;42,8828
52,8887;3,3151;60,8900;2,4906;46,4552;60,8900;46,4552
56,8487;3,1887;62,2100;2,3456;47,4483;62,2100;47,4483
58,2533;3,1525;63,5300;2,3596;48,0759;63,5300;48,0759
56,2400;3,2316;63,2800;2,3554;47,4000;63,2800;47,4000
59,8787;3,1565;65,2400;2,3528;48,5793;65,2400;48,5793
58,6093;3,1762;66,7700;2,2008;50,7724;66,7700;50,7724
62,1253;3,0599;66,8300;2,3286;52,4897;66,8300;52,4897
61,1280;3,1219;67,7200;2,2871;51,4069;67,7200;51,4069
62,1567;3,0790;68,7300;2,2315;50,5724;68,7300;50,5724
62,4673;3,0899;68,4900;2,1885;51,8138;68,4900;51,8138
64,3733;3,0267;70,1000;2,1808;54,2828;70,1000;54,2828
60,1093;3,1266;69,2400;2,2218;52,8483;69,2400;52,8483
61,7167;3,0669;70,2900;2,2076;52,7931;70,2900;52,7931
64,4667;2,9775;71,1600;2,1124;53,9517;71,1600;53,9517
65,5867;2,9699;71,8200;2,1944;54,8000;71,8200;54,8000
65,7727;2,9452;72,1000;2,1008;54,3034;72,1000;54,3034
66,0927;2,9687;72,0900;2,1089;53,7034;72,0900;53,7034
65,9213;2,9516;72,3100;2,1145;54,8069;72,3100;54,8069
65,9467;2,9478;72,0800;2,1763;54,3379;72,0800;54,3379
56,8713;3,1871;63,8000;2,4044;51,4897;63,8000;51,4897
54,6567;3,3049;64,6200;2,3450;49,0207;64,6200;49,0207
56,3307;3,2222;65,1000;2,3508;50,8069;65,1000;50,8069
60,5560;3,1024;66,3500;2,3759;47,8138;66,3500;47,8138
61,9347;3,0568;66,1100;2,3230;48,2345;66,1100;48,2345
61,4667;3,1064;66,7600;2,3675;51,2690;66,7600;51,2690
59,3320;3,1681;67,8300;2,3533;50,0690;67,8300;50,0690
