train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
9,8431;4,0769;12,6400;4,0362;10,5862;12,6400;10,5862
22,4452;3,5229;21,9000;3,6968;14,3586;21,9000;14,3586
33,2046;3,1081;34,2700;3,2026;24,6276;34,2700;24,6276
40,8491;2,8358;36,3000;3,2291;28,1517;36,3000;28,1517
46,7149;2,6278;41,3900;2,9161;34,1724;41,3900;34,1724
51,0863;2,4824;43,5000;2,9001;35,4414;43,5000;35,4414
54,3494;2,3777;45,0300;2,7695;32,3586;45,0300;32,3586
57,7785;2,2695;48,8900;2,6656;35,4828;48,8900;35,4828
59,8111;2,1906;51,6500;2,5439;40,3586;51,6500;40,3586
61,7518;2,1321;52,4700;2,5321;39,8897;52,4700;39,8897
63,8984;2,0592;54,9000;2,4125;40,2828;54,9000;40,2828
65,1989;2,0094;55,4800;2,3809;41,5379;55,4800;41,5379
66,2752;1,9730;57,3500;2,3497;44,4690;57,3500;44,4690
67,7137;1,9285;58,8000;2,2548;44,3172;58,8000;44,3172
69,2061;1,8739;60,2200;2,1921;44,5517;60,2200;44,5517
70,2125;1,8452;60,8000;2,1442;46,2207;60,8000;46,2207
71,1868;1,8106;61,6100;2,1444;46,0759;61,6100;46,0759
71,5729;1,8023;61,9700;2,1261;46,3655;61,9700;46,3655
72,1531;1,7860;61,9700;2,1137;47,7448;61,9700;47,7448
72,5492;1,7711;62,3400;2,1015;47,8552;62,3400;47,8552
63,5483;2,0662;54,3400;2,4233;42,0345;54,3400;42,0345
63,6964;2,0581;54,7400;2,4433;44,9655;54,7400;44,9655
64,2165;2,0271;56,2000;2,3508;40,9655;56,2000;40,9655
65,3709;1,9951;56,6000;2,3861;45,5310;56,6000;45,5310
66,3632;1,9741;55,5100;2,4577;43,7310;55,5100;43,7310
66,8974;1,9420;57,5700;2,3542;40,5862;57,5700;40,5862
67,7897;1,9164;59,3700;2,2445;44,3448;59,3700;44,3448
68,8980;1,8838;59,0800;2,2870;46,0414;59,0800;46,0414
69,2502;1,8675;60,4400;2,2132;46,3310;60,4400;46,3310
70,3225;1,8320;60,8000;2,1837;43,3793;60,8000;43,3793
70,9007;1,8070;60,5700;2,2100;45,2552;60,5700;45,2552
71,4028;1,7940;62,1300;2,1592;45,1448;62,1300;45,1448
71,8530;1,7784;62,2000;2,1458;46,4138;62,2000;46,4138
72,3231;1,7596;63,0700;2,1068;46,8552;63,0700;46,8552
73,0074;1,7378;64,3800;2,0698;48,1103;64,3800;48,1103
73,1674;1,7284;63,7800;2,0627;48,4621;63,7800;48,4621
74,1177;1,6984;64,6300;2,0413;50,2138;64,6300;50,2138
74,5859;1,6842;66,0600;1,9906;51,0759;66,0600;51,0759
75,1060;1,6661;66,2500;1,9805;52,8759;66,2500;52,8759
