;config_488_avg
Standard_Acc;80,6800
RMSCE;0,0209
gaussian_noise;60,0120
shot_noise;63,9660
impulse_noise;68,1220
defocus_blur;75,5360
glass_blur;62,9100
motion_blur;70,9740
zoom_blur;73,4940
snow;72,2580
frost;70,7420
fog;74,0820
brightness;79,3820
contrast;75,0480
elastic_transform;70,9780
pixelate;54,2940
jpeg_compression;56,7620
speckle_noise;65,1040
gaussian_blur;72,9060
spatter;75,9820
saturate;75,2460
blue_noise;68,4840
brownish_noise;48,9780
checkerboard_cutout;73,1180
circular_motion_blur;76,9920
inverse_sparkles;47,5960
lines;59,6360
pinch_and_twirl;74,4760
ripple;63,4460
sparkles;69,6940
transverse_chromatic_abberation;53,1880
Acc_C-all-19;69,3578
Acc_C-original-15;68,5707
Acc_C-bar-10;63,5608
Acc_all-ex-pixelwise-noise-24;67,8216
RMSCE_C;0,0452
Combined_Noise;70,5400
