;config_303_avg;config_303_std;config_303_run_0;config_303_run_1;config_303_run_2
Standard_Acc;76,3300;0,1846;76,5800;76,2700;76,1400
RMSCE;0,0382;0,0071;0,0347;0,0318;0,0480
gaussian_noise;56,1560;0,6196;56,4860;56,6940;55,2880
shot_noise;60,0460;0,6161;60,0140;60,8160;59,3080
impulse_noise;59,1893;0,7350;58,6340;60,2280;58,7060
defocus_blur;70,9120;0,1646;71,1440;70,7800;70,8120
glass_blur;60,0593;0,3354;60,5160;59,9420;59,7200
motion_blur;66,5260;0,5579;67,3140;66,0980;66,1660
zoom_blur;68,6987;0,4112;69,2720;68,4960;68,3280
snow;66,1533;0,4968;66,6480;66,3380;65,4740
frost;65,7887;0,7565;66,7680;65,6720;64,9260
fog;70,0540;0,4803;70,7280;69,6440;69,7900
brightness;74,8340;0,1329;75,0220;74,7380;74,7420
contrast;69,9813;0,5326;70,4580;69,2380;70,2480
elastic_transform;66,9620;0,5742;67,7500;66,3980;66,7380
pixelate;64,6953;0,6562;63,9580;65,5520;64,5760
jpeg_compression;57,6440;0,2938;57,7800;57,2360;57,9160
speckle_noise;60,6133;0,6049;60,5060;61,4020;59,9320
gaussian_blur;68,4400;0,2108;68,7320;68,3460;68,2420
spatter;68,8327;0,4450;69,4620;68,5180;68,5180
saturate;70,3813;0,1379;70,4560;70,1880;70,5000
blue_noise;55,9173;1,5213;54,0940;55,8400;57,8180
brownish_noise;40,9293;0,7120;41,9160;40,2620;40,6100
checkerboard_cutout;61,9980;0,1437;62,1760;61,9940;61,8240
circular_motion_blur;68,9960;0,4020;69,4780;68,4940;69,0160
inverse_sparkles;43,2240;0,5365;43,3960;43,7780;42,4980
lines;52,0227;0,5683;51,3240;52,7160;52,0280
pinch_and_twirl;70,2087;0,4493;70,8220;70,0460;69,7580
ripple;60,1100;0,6555;59,7120;59,5840;61,0340
sparkles;62,6847;0,2778;63,0000;62,3240;62,7300
transverse_chromatic_abberation;49,0307;0,6007;49,8740;48,6980;48,5200
Acc_C-all-19;65,5772;0,2521;65,8762;65,5960;65,2595
Acc_C-original-15;65,1800;0,2656;65,4995;65,1913;64,8492
Acc_C-bar-10;56,5121;0,0980;56,5792;56,3736;56,5836
Acc_all-ex-pixelwise-noise-24;63,2986;0,2517;63,6544;63,1283;63,1131
RMSCE_C;0,0907;0,0078;0,0871;0,0835;0,1016
Combined_Noise;64,8200;0,3448;64,9100;65,1900;64,3600
